v8-version,6,2,414,54,0
shared-library,"/usr/local/bin/node",0x100001800,0x100ba3aaa,0
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff39906d70,0x7fff39aa7217,241741824
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff63e4b94c,0x7fff63e4bb2e,241741824
shared-library,"/usr/lib/libc++.1.dylib",0x7fff640a5950,0x7fff640ee236,241741824
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff658f2bc0,0x7fff65913c52,241741824
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff63a98f7b,0x7fff63a99956,241741824
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff64d60928,0x7fff64f4db46,241741824
shared-library,"/usr/lib/libz.1.dylib",0x7fff667d5390,0x7fff667e0bd5,241741824
shared-library,"/usr/lib/libc++abi.dylib",0x7fff640fdda0,0x7fff6410cf00,241741824
shared-library,"/usr/lib/system/libcache.dylib",0x7fff66857b30,0x7fff6685a56e,241741824
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff6685cc14,0x7fff66865c7d,241741824
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff66867e8c,0x7fff6686ca6e,241741824
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff6686fb9c,0x7fff6687722b,241741824
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff6687a800,0x7fff668df804,241741824
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff669845bc,0x7fff669b2e40,241741824
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff669bf9ac,0x7fff669e6abd,241741824
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff669eea47,0x7fff669eee90,241741824
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff669fcfc0,0x7fff669fcfc0,241741824
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff669fe5e0,0x7fff66a029cb,241741824
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff66a03fb3,0x7fff66a05ab0,241741824
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff66a06990,0x7fff66a07c71,241741824
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff66a098e8,0x7fff66a1e13f,241741824
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff66a2083c,0x7fff66a20cee,241741824
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff66a21df4,0x7fff66aa21ee,241741824
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff66aaae60,0x7fff66aad6bd,241741824
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff66aaf110,0x7fff66ab1350,241741824
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff66ab3884,0x7fff66ab6c1f,241741824
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff66ab9f78,0x7fff66abe4ae,241741824
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff66ac1470,0x7fff66b087f0,241741824
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff66b35900,0x7fff66b660a2,241741824
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff66b821e0,0x7fff66b9f88a,241741824
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff66ba716a,0x7fff66bafba0,241741824
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff66bb378f,0x7fff66bb9840,241741824
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff66bcf9f0,0x7fff66bd24ad,241741824
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff66bd426f,0x7fff66bd53ec,241741824
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff66b0da10,0x7fff66b2c3d9,241741824
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff66bbb560,0x7fff66bc156a,241741824
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff66bc4a78,0x7fff66bccb0f,241741824
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff66bd6990,0x7fff66bdc2ee,241741824
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff66bdf954,0x7fff66bf0c2d,241741824
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff66bf59d8,0x7fff66bfa2a7,241741824
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff66bfc630,0x7fff66c1fc72,241741824
shared-library,"/System/Library/CoreServices/Encodings/libSimplifiedChineseConverter.dylib",0x7fff2e726484,0x7fff2e7280ce,241741824
tick,0x1115839b4,399,0,0x0,4
profiler,"begin",1000
tick,0x7fff66bbbe13,1655,0,0x0,4
tick,0x7fff66bbbd09,2898,0,0x0,4
code-creation,Stub,3,3772,0x322e59904060,234,"JSEntryStub"
code-creation,Builtin,5,3780,0x322e599041c0,128,"JSEntryTrampoline"
code-creation,Stub,3,3784,0x322e599042a0,286,"CEntryStub"
code-creation,Builtin,5,3785,0x322e59904420,123,"Call_ReceiverIsAny"
code-creation,Builtin,5,3786,0x322e59904500,295,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,3787,0x322e599046a0,351,"ToObject"
code-creation,Stub,3,3788,0x322e59904860,2084,"RecordWriteStub"
code-creation,Stub,3,3789,0x322e59905100,292,"StoreBufferOverflowStub"
code-creation,Builtin,5,3790,0x322e599052a0,239,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,3790,0x322e59905400,139,"CallBoundFunction"
code-creation,Builtin,5,3791,0x322e59905500,548,"CallProxy"
code-creation,Stub,3,3792,0x322e599057a0,1693,"GetPropertyStub"
code-creation,Builtin,5,3793,0x322e59905ea0,270,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,3794,0x322e59906020,234,"JSEntryStub"
code-creation,Builtin,5,3795,0x322e59906180,128,"JSConstructEntryTrampoline"
code-creation,Builtin,5,3796,0x322e59906260,77,"Construct"
code-creation,Builtin,5,3796,0x322e59906320,18,"ConstructFunction"
code-creation,Builtin,5,3797,0x322e599063a0,139,"ConstructBoundFunction"
code-creation,Builtin,5,3798,0x322e599064a0,624,"ConstructProxy"
code-creation,Builtin,5,3799,0x322e59906780,43,"ConstructedNonConstructable"
code-creation,Builtin,5,3802,0x322e59906820,15,"EmptyFunction"
code-creation,Builtin,5,3805,0x322e599068a0,28,"AdaptorWithBuiltinExitFrame"
code-creation,Stub,3,3806,0x322e59906920,286,"CEntryStub"
code-creation,Builtin,5,3807,0x322e59906aa0,615,"CompileLazy"
code-creation,Stub,3,3808,0x322e59906d80,440,"RecordWriteStub"
code-creation,Stub,3,3809,0x322e59906fa0,1192,"RecordWriteStub"
code-creation,Stub,3,3810,0x322e599074c0,72,"StoreBufferOverflowStub"
code-creation,Stub,3,3810,0x322e59907580,1220,"RecordWriteStub"
code-creation,Builtin,5,3811,0x322e59907ac0,277,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,3812,0x322e59907c40,925,"FastNewObject"
code-creation,Stub,3,3813,0x322e59908040,2141,"RecordWriteStub"
code-creation,Handler,4,3814,0x322e59908900,164,"An IC handler from the snapshot"
code-creation,Stub,3,3815,0x322e59908a20,87,"DoubleToIStub"
code-creation,Stub,3,3816,0x322e59908ae0,93,"DoubleToIStub"
code-creation,Stub,3,3816,0x322e59908ba0,469,"CEntryStub"
code-creation,Stub,3,3817,0x322e59908de0,2088,"RecordWriteStub"
code-creation,Stub,3,3818,0x322e59909680,2072,"RecordWriteStub"
code-creation,Stub,3,3819,0x322e59909f00,2084,"RecordWriteStub"
code-creation,Stub,3,3820,0x322e5990a7a0,2119,"RecordWriteStub"
code-creation,Stub,3,3820,0x322e5990b060,2099,"RecordWriteStub"
code-creation,Stub,3,3821,0x322e5990b900,2088,"RecordWriteStub"
code-creation,Stub,3,3822,0x322e5990c1a0,1688,"StringAddStub"
code-creation,Stub,3,3823,0x322e5990c8a0,890,"RecordWriteStub"
code-creation,Stub,3,3824,0x322e5990cc80,2134,"RecordWriteStub"
code-creation,Stub,3,3824,0x322e5990d540,2103,"RecordWriteStub"
code-creation,Stub,3,3825,0x322e5990dde0,882,"RecordWriteStub"
code-creation,Stub,3,3826,0x322e5990e1c0,2088,"RecordWriteStub"
code-creation,Stub,3,3827,0x322e5990ea60,2088,"RecordWriteStub"
code-creation,Stub,3,3828,0x322e5990f300,2126,"RecordWriteStub"
code-creation,Stub,3,3828,0x322e5990fbc0,1250,"RecordWriteStub"
code-creation,Stub,3,3829,0x322e59910120,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3830,0x322e59910260,2100,"RecordWriteStub"
code-creation,Stub,3,3831,0x322e59910b00,2075,"RecordWriteStub"
code-creation,Stub,3,3832,0x322e59911380,367,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,3833,0x322e59911560,2075,"RecordWriteStub"
code-creation,Stub,3,3833,0x322e59911de0,2100,"RecordWriteStub"
code-creation,Stub,3,3834,0x322e59912680,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,3835,0x322e59912860,180,"An IC handler from the snapshot"
code-creation,Stub,3,3836,0x322e59912980,2072,"RecordWriteStub"
code-creation,Handler,4,3837,0x322e59913200,180,"An IC handler from the snapshot"
code-creation,Stub,3,3871,0x322e59913320,876,"RecordWriteStub"
code-creation,Stub,3,3872,0x322e59913700,2122,"RecordWriteStub"
